Someone wondered which boys I think,N-pl,1
Someone wondered which girls I think,N-pl,1
Someone wondered which patients I think,N-pl,1
Someone wondered which parents I think,N-pl,1
Someone wondered which men I think,N-pl,1
Someone wondered which women I think,N-pl,1
Someone wondered which neighbors I think,N-pl,1
Someone wondered which teachers I think,N-pl,1
Someone wondered which lawyers I think,N-pl,1
Someone wondered which reporters I think,N-pl,1
Someone wondered which coaches I think,N-pl,1
Someone wondered which customers I think,N-pl,1
Someone wondered which officers I think,N-pl,1
Someone wondered which patrons I think,N-pl,1
Someone wondered which babies I think,N-pl,1
Someone wondered which authors I think,N-pl,1
Someone wondered which nurses I think,N-pl,1
Someone wondered which instructors I think,N-pl,1
Someone wondered which teenagers I think,N-pl,1
Someone wondered which cousins I think,N-pl,1
Someone wondered which boy I think,N-sg,1
Someone wondered which girl I think,N-sg,1
Someone wondered which patient I think,N-sg,1
Someone wondered which parent I think,N-sg,1
Someone wondered which man I think,N-sg,1
Someone wondered which woman I think,N-sg,1
Someone wondered which neighbor I think,N-sg,1
Someone wondered which teacher I think,N-sg,1
Someone wondered which lawyer I think,N-sg,1
Someone wondered which reporter I think,N-sg,1
Someone wondered which coach I think,N-sg,1
Someone wondered which customer I think,N-sg,1
Someone wondered which officer I think,N-sg,1
Someone wondered which patron I think,N-sg,1
Someone wondered which baby I think,N-sg,1
Someone wondered which author I think,N-sg,1
Someone wondered which nurse I think,N-sg,1
Someone wondered which instructor I think,N-sg,1
Someone wondered which teenager I think,N-sg,1
Someone wondered which cousin I think,N-sg,1
Someone wondered which boys I think you said,N-pl,2
Someone wondered which girls I think you said,N-pl,2
Someone wondered which patients I think you said,N-pl,2
Someone wondered which parents I think you said,N-pl,2
Someone wondered which men I think you said,N-pl,2
Someone wondered which women I think you said,N-pl,2
Someone wondered which neighbors I think you said,N-pl,2
Someone wondered which teachers I think you said,N-pl,2
Someone wondered which lawyers I think you said,N-pl,2
Someone wondered which reporters I think you said,N-pl,2
Someone wondered which coaches I think you said,N-pl,2
Someone wondered which customers I think you said,N-pl,2
Someone wondered which officers I think you said,N-pl,2
Someone wondered which patrons I think you said,N-pl,2
Someone wondered which babies I think you said,N-pl,2
Someone wondered which authors I think you said,N-pl,2
Someone wondered which nurses I think you said,N-pl,2
Someone wondered which instructors I think you said,N-pl,2
Someone wondered which teenagers I think you said,N-pl,2
Someone wondered which cousins I think you said,N-pl,2
Someone wondered which boy I think you said,N-sg,2
Someone wondered which girl I think you said,N-sg,2
Someone wondered which patient I think you said,N-sg,2
Someone wondered which parent I think you said,N-sg,2
Someone wondered which man I think you said,N-sg,2
Someone wondered which woman I think you said,N-sg,2
Someone wondered which neighbor I think you said,N-sg,2
Someone wondered which teacher I think you said,N-sg,2
Someone wondered which lawyer I think you said,N-sg,2
Someone wondered which reporter I think you said,N-sg,2
Someone wondered which coach I think you said,N-sg,2
Someone wondered which customer I think you said,N-sg,2
Someone wondered which officer I think you said,N-sg,2
Someone wondered which patron I think you said,N-sg,2
Someone wondered which baby I think you said,N-sg,2
Someone wondered which author I think you said,N-sg,2
Someone wondered which nurse I think you said,N-sg,2
Someone wondered which instructor I think you said,N-sg,2
Someone wondered which teenager I think you said,N-sg,2
Someone wondered which cousin I think you said,N-sg,2
Someone wondered which boys I think you said you thought,N-pl,3
Someone wondered which girls I think you said you thought,N-pl,3
Someone wondered which patients I think you said you thought,N-pl,3
Someone wondered which parents I think you said you thought,N-pl,3
Someone wondered which men I think you said you thought,N-pl,3
Someone wondered which women I think you said you thought,N-pl,3
Someone wondered which neighbors I think you said you thought,N-pl,3
Someone wondered which teachers I think you said you thought,N-pl,3
Someone wondered which lawyers I think you said you thought,N-pl,3
Someone wondered which reporters I think you said you thought,N-pl,3
Someone wondered which coaches I think you said you thought,N-pl,3
Someone wondered which customers I think you said you thought,N-pl,3
Someone wondered which officers I think you said you thought,N-pl,3
Someone wondered which patrons I think you said you thought,N-pl,3
Someone wondered which babies I think you said you thought,N-pl,3
Someone wondered which authors I think you said you thought,N-pl,3
Someone wondered which nurses I think you said you thought,N-pl,3
Someone wondered which instructors I think you said you thought,N-pl,3
Someone wondered which teenagers I think you said you thought,N-pl,3
Someone wondered which cousins I think you said you thought,N-pl,3
Someone wondered which boy I think you said you thought,N-sg,3
Someone wondered which girl I think you said you thought,N-sg,3
Someone wondered which patient I think you said you thought,N-sg,3
Someone wondered which parent I think you said you thought,N-sg,3
Someone wondered which man I think you said you thought,N-sg,3
Someone wondered which woman I think you said you thought,N-sg,3
Someone wondered which neighbor I think you said you thought,N-sg,3
Someone wondered which teacher I think you said you thought,N-sg,3
Someone wondered which lawyer I think you said you thought,N-sg,3
Someone wondered which reporter I think you said you thought,N-sg,3
Someone wondered which coach I think you said you thought,N-sg,3
Someone wondered which customer I think you said you thought,N-sg,3
Someone wondered which officer I think you said you thought,N-sg,3
Someone wondered which patron I think you said you thought,N-sg,3
Someone wondered which baby I think you said you thought,N-sg,3
Someone wondered which author I think you said you thought,N-sg,3
Someone wondered which nurse I think you said you thought,N-sg,3
Someone wondered which instructor I think you said you thought,N-sg,3
Someone wondered which teenager I think you said you thought,N-sg,3
Someone wondered which cousin I think you said you thought,N-sg,3
Someone wondered which boys people believe I think you said you thought,N-pl,4
Someone wondered which girls people believe I think you said you thought,N-pl,4
Someone wondered which patients people believe I think you said you thought,N-pl,4
Someone wondered which parents people believe I think you said you thought,N-pl,4
Someone wondered which men people believe I think you said you thought,N-pl,4
Someone wondered which women people believe I think you said you thought,N-pl,4
Someone wondered which neighbors people believe I think you said you thought,N-pl,4
